username,email,password,classid,lastname,firstname
ewstu1,ewstu1@campl.com,demo,1A1,testing,user stu
ewstu2,ewstu2@campl.com,demo,1A2,testing,user stu
ewstu3,ewstu3@campl.com,demo,1A3,testing,user stu
ewstu4,ewstu4@campl.com,demo,1A4,testing,user stu
ewstu5,ewstu5@campl.com,demo,1A5,testing,user stu
ewstu6,ewstu6@campl.com,demo,1A6,testing,user stu
ewstu7,ewstu7@campl.com,demo,1A7,testing,user stu
ewstu8,ewstu8@campl.com,demo,1A8,testing,user stu
ewstu9,ewstu9@campl.com,demo,1A9,testing,user stu
ewstu10,ewstu10@campl.com,demo,1A10,testing,user stu
ewstu11,ewstu11@campl.com,demo,1B1,testing,user stu
ewstu12,ewstu12@campl.com,demo,1B2,testing,user stu
ewstu13,ewstu13@campl.com,demo,1B3,testing,user stu
ewstu14,ewstu14@campl.com,demo,1B4,testing,user stu
ewstu15,ewstu15@campl.com,demo,1B5,testing,user stu
ewstu16,ewstu16@campl.com,demo,1B6,testing,user stu
ewstu17,ewstu17@campl.com,demo,1B7,testing,user stu
ewstu18,ewstu18@campl.com,demo,1B8,testing,user stu
ewstu19,ewstu19@campl.com,demo,1B9,testing,user stu
ewstu20,ewstu20@campl.com,demo,1B10,testing,user stu
ewstu21,ewstu21@campl.com,demo,2A1,testing,user stu
ewstu22,ewstu22@campl.com,demo,2A2,testing,user stu
ewstu23,ewstu23@campl.com,demo,2A3,testing,user stu
ewstu24,ewstu24@campl.com,demo,2A4,testing,user stu
ewstu25,ewstu25@campl.com,demo,2A5,testing,user stu
ewstu26,ewstu26@campl.com,demo,2A6,testing,user stu
ewstu27,ewstu27@campl.com,demo,2A7,testing,user stu
ewstu28,ewstu28@campl.com,demo,2A8,testing,user stu
ewstu29,ewstu29@campl.com,demo,2A9,testing,user stu
ewstu30,ewstu30@campl.com,demo,2A10,testing,user stu
